Timestamp,Umidade Ambiente THT860 (modo temperatura / umidade),Temperatura Ambiente THT860 (modo temperatura / umidade)
08/09/2020 11:13:45,50.8,22.9
08/09/2020 11:08:38,56.6,23
08/09/2020 11:03:29,47.3,22.6
08/09/2020 10:58:22,47.6,22.6
08/09/2020 10:53:15,47.1,22.6
08/09/2020 10:48:09,46.8,22.8
08/09/2020 10:43:00,47.5,23
08/09/2020 10:37:54,47.4,23
08/09/2020 10:32:48,47.2,23.1
08/09/2020 10:27:40,47.4,23
08/09/2020 10:22:34,48.1,23
08/09/2020 10:17:28,48.7,23
08/09/2020 10:12:18,50.4,22.8
08/09/2020 10:07:11,56.3,23
08/09/2020 10:02:06,48.6,22.4
08/09/2020 09:56:58,48.2,22.6
08/09/2020 09:51:52,58.3,23
08/09/2020 09:46:45,48.5,22.6
08/09/2020 09:41:37,49,22.6
08/09/2020 09:36:27,54.8,23
08/09/2020 09:31:19,50.4,22.6
08/09/2020 09:26:12,56.9,22.9
08/09/2020 09:21:07,48.9,22.6
08/09/2020 09:15:59,57.5,23
08/09/2020 09:10:51,47.8,22.6
08/09/2020 09:05:46,49.3,22.6
08/09/2020 09:00:38,56,22.9
08/09/2020 08:55:30,49.4,22.4
08/09/2020 08:50:24,46.8,22.5
08/09/2020 08:45:18,47.5,22.8
08/09/2020 08:40:13,50.2,22.9
08/09/2020 08:35:05,52.5,22.8
08/09/2020 08:29:56,52.8,23
08/09/2020 08:24:50,48.7,22.6
08/09/2020 08:19:43,49.8,22.8
08/09/2020 08:14:35,52.4,22.6
08/09/2020 08:09:26,49.4,22.8
08/09/2020 08:04:21,55,22.8
08/09/2020 07:59:13,48.4,22.7
08/09/2020 07:54:07,56.8,23
08/09/2020 07:48:59,47.6,22.6
08/09/2020 07:43:53,54.9,22.9
08/09/2020 07:38:46,45.1,22.4
08/09/2020 07:33:39,46.2,22.6
08/09/2020 07:28:31,52.3,22.9
08/09/2020 07:23:24,46.1,22.6
08/09/2020 07:18:18,47.9,22.8
08/09/2020 07:13:11,53.7,22.9
08/09/2020 07:08:03,45.5,22.7
08/09/2020 07:02:56,48.9,22.9
08/09/2020 06:57:51,49.4,22.8
08/09/2020 06:52:45,50.6,22.9
08/09/2020 06:47:39,49.5,22.9
08/09/2020 06:42:30,51.9,23.1
08/09/2020 06:37:25,48,22.8
08/09/2020 06:32:19,52.6,22.9
08/09/2020 06:27:12,47.3,22.6
08/09/2020 06:22:07,55,23.1
08/09/2020 06:17:00,45.2,22.8
08/09/2020 06:11:52,50.9,23
08/09/2020 06:06:46,48.3,22.9
08/09/2020 06:01:39,52.7,22.9
08/09/2020 05:56:29,44.8,22.7
08/09/2020 05:51:22,49.9,23.1
08/09/2020 05:46:17,46.9,22.7
